#Creator: pendulumdriveEventBuffer
#Creation time: Tue Apr  4 15:26:34 2017
#Time	Pos
#[s]	[au]
0.050	441
0.100	427
0.150	404
0.200	399
0.250	383
0.302	368
0.352	366
0.402	349
0.452	355
0.502	354
0.553	352
0.603	364
0.653	373
0.703	380
0.753	401
0.803	404
0.854	431
0.904	445
0.954	452
1.004	471
1.054	474
1.105	483
1.155	489
1.206	474
1.256	483
1.306	472
1.356	449
1.407	446
1.457	426
1.507	410
1.557	397
1.607	371
1.657	366
1.708	354
1.758	341
1.808	341
1.858	347
1.908	340
1.959	353
2.009	357
2.059	381
2.110	398
2.160	408
2.210	436
2.261	447
2.311	468
2.361	485
2.411	477
2.461	502
2.511	502
2.562	489
2.612	494
2.662	469
2.712	464
2.762	447
2.813	415
2.863	406
2.913	385
2.963	361
3.014	350
3.064	335
3.115	324
3.165	327
3.215	322
3.265	336
3.315	347
3.365	357
3.416	384
3.466	396
3.516	425
3.566	449
3.616	454
3.667	488
3.717	499
3.767	501
3.817	515
3.867	498
3.918	507
3.969	495
4.019	464
4.069	460
4.119	435
4.169	406
4.220	390
4.270	358
4.320	346
4.370	335
4.420	319
4.470	320
4.521	322
4.571	320
4.621	338
4.671	348
4.721	376
4.771	398
4.823	410
4.873	447
4.923	466
4.973	480
5.023	503
5.074	497
5.124	517
5.174	516
5.224	496
5.274	500
5.324	480
5.375	456
5.425	439
5.475	404
5.525	391
5.575	369
5.625	343
5.676	336
5.727	327
5.777	318
5.827	323
5.877	323
5.928	340
5.978	357
6.028	368
6.078	400
6.128	419
6.178	440
6.229	468
6.279	471
6.329	499
6.379	507
6.429	501
6.479	511
6.530	499
6.580	488
6.631	477
6.681	442
6.731	437
6.782	414
6.832	384
6.882	374
6.932	357
6.982	340
7.032	337
7.083	327
7.133	334
7.183	340
7.233	344
7.283	364
7.333	383
7.384	396
7.434	420
7.484	429
7.535	458
7.585	472
7.636	472
7.686	491
7.736	483
7.786	490
7.836	491
7.886	468
7.937	470
7.987	454
8.037	429
8.087	423
8.137	403
8.188	384
8.238	376
8.288	356
8.338	357
8.388	352
8.439	342
8.490	353
8.540	359
8.590	364
8.640	380
8.690	385
8.740	407
8.791	420
8.841	428
8.891	450
8.941	454
8.991	469
9.042	478
9.092	469
9.142	482
9.192	478
9.242	464
9.292	464
9.344	443
9.394	437
9.444	425
9.494	401
9.544	398
9.594	383
9.645	365
9.695	364
9.745	351
9.795	352
9.845	355
9.896	353
9.946	365
9.996	375
10.046	380
10.096	401
10.146	404
10.197	430
10.248	447
10.298	448
10.348	472
10.398	479
10.449	479
10.499	488
10.549	471
10.599	482
10.649	472
10.699	449
10.750	447
10.800	428
10.850	405
10.900	396
10.950	373
11.000	364
11.051	355
11.101	340
11.152	342
11.202	342
11.252	340
11.303	355
11.353	360
11.403	382
11.453	400
11.503	408
11.553	437
11.604	453
11.654	463
11.704	486
11.754	477
11.804	502
11.854	502
11.905	485
11.955	491
12.005	476
12.056	455
12.106	446
12.157	413
12.207	404
12.257	384
12.307	358
12.357	350
12.407	339
12.458	326
12.508	329
12.558	325
12.608	338
12.658	351
12.708	360
12.759	387
12.809	405
12.859	424
12.909	453
12.960	460
13.011	490
13.061	501
13.111	497
13.161	513
13.211	504
13.261	498
13.312	492
13.362	462
13.412	455
13.462	432
13.512	401
13.562	387
13.613	367
13.663	344
13.713	336
13.763	320
13.813	323
13.865	324
13.915	326
13.965	344
14.015	366
14.065	377
14.115	404
14.166	416
14.216	451
14.266	471
14.316	478
14.366	503
14.417	494
14.467	511
14.517	513
14.567	489
14.617	493
14.667	474
14.718	446
14.769	433
14.819	407
14.869	384
14.919	367
14.969	343
15.020	339
15.070	331
15.120	321
15.170	331
15.220	343
15.271	345
15.321	366
15.371	378
15.421	406
15.471	426
15.521	440
15.572	467
15.622	467
15.673	491
15.723	500
15.773	488
15.823	501
15.874	493
15.924	474
15.974	468
16.024	441
16.074	429
16.125	413
16.175	386
16.225	378
16.275	365
16.325	349
16.375	348
16.426	339
16.476	340
16.527	352
16.577	353
16.627	373
16.677	387
16.728	394
16.778	419
16.828	424
16.878	448
16.928	463
16.979	459
17.029	480
17.079	482
17.129	476
17.179	481
17.229	460
17.280	464
17.330	453
17.380	428
17.431	426
17.481	411
17.532	392
17.582	386
17.632	366
17.682	364
17.732	361
17.782	352
17.833	359
17.883	362
17.933	363
17.983	378
18.033	379
18.083	400
18.134	415
18.184	419
18.234	443
18.284	452
18.335	457
18.386	473
18.436	464
18.486	481
18.536	480
18.586	464
18.636	469
18.687	455
18.737	439
18.787	433
18.837	405
18.887	402
18.937	388
18.988	367
19.038	365
19.088	357
19.138	346
19.188	351
19.240	348
19.290	360
19.340	368
19.390	371
19.440	396
19.490	411
19.541	422
19.591	446
19.641	446
19.691	475
19.741	484
19.791	480
19.842	495
19.892	489
19.942	481
19.992	479
20.042	451
20.093	450
20.144	431
20.194	405
20.244	395
20.294	376
20.344	356
20.395	349
20.445	334
20.495	336
20.545	337
20.595	334
20.645	351
20.696	364
20.746	374
20.796	399
20.846	411
20.896	440
20.947	459
20.997	466
21.048	491
21.098	492
21.148	502
21.198	507
21.249	486
21.299	494
21.349	479
21.399	451
21.449	442
21.500	415
21.550	394
21.600	378
21.650	353
21.700	345
21.750	335
21.801	322
21.851	328
21.901	338
21.952	336
22.002	355
22.052	364
